,total,starttime,area_type,events,temperature,per_week_total,per_2weeks_total,per_30days_total,month,dayth,year,month_dayth,festival,isweekend
0,30,2014-01-01,0.0,rain or snow,18.983333333333327,0.0,0.0,0.0,1,1,2014,01-01,winter,0
1,8,2014-01-02,0.0,rain or snow,16.6875,0.0,0.0,0.0,1,2,2014,01-02,winter,0
2,1,2014-01-03,0.0,clear,-2.9,0.0,0.0,0.0,1,3,2014,01-03,winter,0
3,38,2014-01-04,0.0,rain or snow,29.89210526315789,0.0,0.0,0.0,1,4,2014,01-04,winter,1
4,8,2014-01-05,0.0,rain or snow,15.6625,0.0,0.0,0.0,1,5,2014,01-05,winter,1
5,1,2014-01-06,0.0,cloudy,-15.0,0.0,0.0,0.0,1,6,2014,01-06,winter,0
6,76,2014-01-09,0.0,not clear,17.982894736842105,0.0,0.0,0.0,1,9,2014,01-09,winter,0
7,71,2014-01-10,0.0,cloudy,34.405633802816894,162.0,0.0,0.0,1,10,2014,01-10,winter,0
8,153,2014-01-11,0.0,cloudy,34.32549019607844,203.0,0.0,0.0,1,11,2014,01-11,winter,1
9,198,2014-01-12,0.0,cloudy,37.867676767676755,348.0,0.0,0.0,1,12,2014,01-12,winter,1
10,255,2014-01-13,0.0,cloudy,37.91921568627451,545.0,0.0,0.0,1,13,2014,01-13,winter,0
11,232,2014-01-14,0.0,cloudy,29.4396551724138,762.0,0.0,0.0,1,14,2014,01-14,winter,0
12,188,2014-01-15,0.0,cloudy,16.62287234042553,986.0,0.0,0.0,1,15,2014,01-15,winter,0
13,171,2014-01-16,0.0,cloudy,29.26198830409357,1173.0,0.0,0.0,1,16,2014,01-16,winter,0
14,134,2014-01-17,0.0,cloudy,15.1,1268.0,1430.0,0.0,1,17,2014,01-17,winter,0
15,78,2014-01-18,0.0,rain or snow,16.30256410256411,1331.0,1534.0,0.0,1,18,2014,01-18,winter,1
16,112,2014-01-19,0.0,cloudy,31.050892857142852,1256.0,1604.0,0.0,1,19,2014,01-19,winter,1
17,151,2014-01-20,0.0,cloudy,28.39801324503312,1170.0,1715.0,0.0,1,20,2014,01-20,winter,0
18,72,2014-01-21,0.0,cloudy,5.9930555555555545,1066.0,1828.0,0.0,1,21,2014,01-21,winter,0
19,79,2014-01-22,0.0,rain or snow,7.732911392405063,906.0,1892.0,0.0,1,22,2014,01-22,winter,0
20,71,2014-01-23,0.0,cloudy,2.1225352112676057,797.0,1970.0,0.0,1,23,2014,01-23,winter,0
21,73,2014-01-24,0.0,cloudy,15.084931506849319,697.0,1965.0,0.0,1,24,2014,01-24,winter,0
22,80,2014-01-25,0.0,cloudy,14.60375,636.0,1967.0,0.0,1,25,2014,01-25,winter,1
23,78,2014-01-26,0.0,cloudy,25.624358974358977,638.0,1894.0,0.0,1,26,2014,01-26,winter,1
24,40,2014-01-27,0.0,cloudy,-3.46,604.0,1774.0,0.0,1,27,2014,01-27,winter,0
25,35,2014-01-28,0.0,clear,-1.7885714285714287,493.0,1559.0,0.0,1,28,2014,01-28,winter,0
26,119,2014-01-29,0.0,clear,15.60588235294118,456.0,1362.0,0.0,1,29,2014,01-29,winter,0
27,113,2014-01-30,0.0,cloudy,28.3929203539823,496.0,1293.0,0.0,1,30,2014,01-30,winter,0
28,149,2014-01-31,0.0,cloudy,20.82147651006711,538.0,1235.0,0.0,1,31,2014,01-31,winter,0
29,43,2014-02-01,0.0,rain or snow,28.01395348837209,614.0,1250.0,0.0,2,1,2014,02-01,winter,1
30,76,2014-02-02,0.0,cloudy,16.132894736842108,577.0,1215.0,2857.0,2,2,2014,02-02,winter,1
31,108,2014-02-03,0.0,cloudy,11.763888888888893,575.0,1179.0,2903.0,2,3,2014,02-03,winter,0
32,103,2014-02-04,0.0,cloudy,19.822330097087377,643.0,1136.0,3003.0,2,4,2014,02-04,winter,0
33,53,2014-02-05,0.0,rain or snow,17.920754716981133,711.0,1167.0,3105.0,2,5,2014,02-05,winter,0
34,58,2014-02-06,0.0,cloudy,2.7,645.0,1141.0,3120.0,2,6,2014,02-06,winter,0
35,61,2014-02-07,0.0,cloudy,5.196721311475412,590.0,1128.0,3170.0,2,7,2014,02-07,winter,0
36,55,2014-02-08,0.0,rain or snow,13.574545454545454,502.0,1116.0,3230.0,2,8,2014,02-08,winter,1
37,61,2014-02-09,0.0,cloudy,14.511475409836063,514.0,1091.0,3209.0,2,9,2014,02-09,winter,1
38,76,2014-02-10,0.0,clear,4.646052631578948,499.0,1074.0,3199.0,2,10,2014,02-10,winter,0
39,104,2014-02-11,0.0,clear,4.393269230769231,467.0,1110.0,3122.0,2,11,2014,02-11,winter,0
40,127,2014-02-12,0.0,cloudy,17.76220472440945,468.0,1179.0,3028.0,2,12,2014,02-12,winter,0
41,135,2014-02-13,0.0,cloudy,24.712592592592593,542.0,1187.0,2900.0,2,13,2014,02-13,winter,0
42,123,2014-02-14,0.0,cloudy,16.347154471544712,619.0,1209.0,2803.0,2,14,2014,02-14,winter,0
43,129,2014-02-15,0.0,cloudy,19.896899224806205,681.0,1183.0,2738.0,2,15,2014,02-15,winter,1
44,103,2014-02-16,0.0,cloudy,24.622330097087367,755.0,1269.0,2696.0,2,16,2014,02-16,winter,1
45,55,2014-02-17,0.0,rain or snow,23.96545454545453,797.0,1296.0,2665.0,2,17,2014,02-17,winter,0
46,112,2014-02-18,0.0,cloudy,38.37232142857143,776.0,1243.0,2642.0,2,18,2014,02-18,winter,0
47,179,2014-02-19,0.0,cloudy,37.055307262569826,784.0,1252.0,2642.0,2,19,2014,02-19,winter,0
48,83,2014-02-20,0.0,cloudy,38.6,836.0,1378.0,2670.0,2,20,2014,02-20,winter,0
49,102,2014-02-21,0.0,cloudy,30.788235294117648,784.0,1403.0,2681.0,2,21,2014,02-21,winter,0
50,175,2014-02-22,0.0,cloudy,29.762857142857147,763.0,1444.0,2704.0,2,22,2014,02-22,winter,1
51,153,2014-02-23,0.0,cloudy,22.930718954248363,809.0,1564.0,2808.0,2,23,2014,02-23,winter,1
52,150,2014-02-24,0.0,cloudy,19.382,859.0,1656.0,2888.0,2,24,2014,02-24,winter,0
53,127,2014-02-25,0.0,cloudy,15.725196850393699,954.0,1730.0,2958.0,2,25,2014,02-25,winter,0
54,93,2014-02-26,0.0,cloudy,9.30967741935484,969.0,1753.0,3007.0,2,26,2014,02-26,winter,0
55,71,2014-02-27,0.0,cloudy,7.738028169014082,883.0,1719.0,3060.0,2,27,2014,02-27,winter,0
56,126,2014-02-28,0.0,cloudy,21.698412698412685,871.0,1655.0,3096.0,2,28,2014,02-28,winter,0
57,76,2014-03-01,0.0,cloudy,19.57763157894737,895.0,1658.0,3103.0,3,1,2014,03-01,spring,1
58,58,2014-03-02,0.0,cloudy,9.143103448275859,796.0,1605.0,3066.0,3,2,2014,03-02,spring,1
59,91,2014-03-03,0.0,cloudy,11.559340659340654,701.0,1560.0,2975.0,3,3,2014,03-03,spring,0
60,144,2014-03-04,0.0,cloudy,21.667361111111113,642.0,1596.0,3023.0,3,4,2014,03-04,spring,0
61,82,2014-03-05,0.0,cloudy,20.260975609756105,659.0,1628.0,3091.0,3,5,2014,03-05,spring,0
62,147,2014-03-06,0.0,cloudy,23.993197278911573,648.0,1531.0,3065.0,3,6,2014,03-06,spring,0
63,264,2014-03-07,0.0,cloudy,38.38181818181818,724.0,1595.0,3109.0,3,7,2014,03-07,spring,0
64,165,2014-03-08,0.0,cloudy,27.10848484848485,862.0,1757.0,3320.0,3,8,2014,03-08,spring,1
65,203,2014-03-09,0.0,cloudy,35.66256157635468,951.0,1747.0,3427.0,3,9,2014,03-09,spring,1
66,408,2014-03-10,0.0,cloudy,47.44338235294117,1096.0,1797.0,3569.0,3,10,2014,03-10,spring,0
67,282,2014-03-11,0.0,cloudy,42.79645390070922,1413.0,2055.0,3922.0,3,11,2014,03-11,spring,0
68,77,2014-03-12,0.0,cloudy,25.26233766233767,1551.0,2210.0,4143.0,3,12,2014,03-12,spring,0
69,152,2014-03-13,0.0,cloudy,29.25657894736842,1546.0,2194.0,4144.0,3,13,2014,03-13,spring,0
70,339,2014-03-14,0.0,cloudy,45.27256637168142,1551.0,2275.0,4192.0,3,14,2014,03-14,spring,0
71,246,2014-03-15,0.0,cloudy,35.91991869918698,1626.0,2488.0,4404.0,3,15,2014,03-15,spring,1
72,122,2014-03-16,0.0,cloudy,22.368032786885248,1707.0,2658.0,4515.0,3,16,2014,03-16,spring,1
73,236,2014-03-17,0.0,cloudy,32.516101694915264,1626.0,2722.0,4514.0,3,17,2014,03-17,spring,0
74,353,2014-03-18,0.0,cloudy,43.72492917847025,1454.0,2867.0,4621.0,3,18,2014,03-18,spring,0
75,151,2014-03-19,0.0,cloudy,38.773509933774854,1525.0,3076.0,4871.0,3,19,2014,03-19,spring,0
76,289,2014-03-20,0.0,cloudy,39.536678200692045,1599.0,3145.0,4967.0,3,20,2014,03-20,spring,0
77,424,2014-03-21,0.0,cloudy,48.446226415094344,1736.0,3287.0,5144.0,3,21,2014,03-21,spring,0
78,330,2014-03-22,0.0,cloudy,38.166969696969694,1821.0,3447.0,5389.0,3,22,2014,03-22,spring,1
79,178,2014-03-23,0.0,cloudy,27.6814606741573,1905.0,3612.0,5636.0,3,23,2014,03-23,spring,1
80,256,2014-03-24,0.0,cloudy,29.23203125,1961.0,3587.0,5712.0,3,24,2014,03-24,spring,0
81,181,2014-03-25,0.0,cloudy,25.77734806629835,1981.0,3435.0,5793.0,3,25,2014,03-25,spring,0
82,253,2014-03-26,0.0,cloudy,32.287747035573126,1809.0,3334.0,5821.0,3,26,2014,03-26,spring,0
83,159,2014-03-27,0.0,rain or snow,42.85849056603774,1911.0,3510.0,5924.0,3,27,2014,03-27,spring,0
84,243,2014-03-28,0.0,cloudy,37.74526748971193,1781.0,3517.0,5956.0,3,28,2014,03-28,spring,0
85,330,2014-03-29,0.0,cloudy,36.76878787878788,1600.0,3421.0,6106.0,3,29,2014,03-29,spring,1
86,484,2014-03-30,0.0,cloudy,50.0603305785124,1600.0,3505.0,6365.0,3,30,2014,03-30,spring,1
87,496,2014-03-31,0.0,cloudy,59.89939516129032,1906.0,3867.0,6723.0,3,31,2014,03-31,spring,0
88,362,2014-04-01,0.0,cloudy,41.309944751381224,2146.0,4127.0,7143.0,4,1,2014,04-01,spring,0
89,419,2014-04-02,0.0,cloudy,38.318138424821,2327.0,4136.0,7447.0,4,2,2014,04-02,spring,0
90,180,2014-04-03,0.0,cloudy,36.865,2493.0,4404.0,7775.0,4,3,2014,04-03,spring,0
91,294,2014-04-04,0.0,cloudy,40.00884353741496,2514.0,4295.0,7811.0,4,4,2014,04-04,spring,0
92,462,2014-04-05,0.0,cloudy,45.27510822510822,2565.0,4165.0,8023.0,4,5,2014,04-05,spring,1
93,523,2014-04-06,0.0,cloudy,51.040917782026774,2697.0,4297.0,8338.0,4,6,2014,04-06,spring,1
94,461,2014-04-07,0.0,cloudy,47.52689804772234,2736.0,4642.0,8597.0,4,7,2014,04-07,spring,0
95,551,2014-04-08,0.0,cloudy,50.788021778584394,2701.0,4847.0,8893.0,4,8,2014,04-08,spring,0
96,710,2014-04-09,0.0,cloudy,55.25309859154929,2890.0,5217.0,9241.0,4,9,2014,04-09,spring,0
97,615,2014-04-10,0.0,cloudy,59.04845528455285,3181.0,5674.0,9543.0,4,10,2014,04-10,spring,0
98,749,2014-04-11,0.0,cloudy,61.68905206942589,3616.0,6130.0,9876.0,4,11,2014,04-11,spring,0
99,877,2014-04-12,0.0,cloudy,72.342417331813,4071.0,6636.0,10548.0,4,12,2014,04-12,spring,1
100,377,2014-04-13,0.0,cloudy,57.612997347480096,4486.0,7183.0,11273.0,4,13,2014,04-13,spring,1
101,183,2014-04-14,0.0,rain or snow,36.98633879781421,4340.0,7076.0,11311.0,4,14,2014,04-14,spring,0
102,226,2014-04-15,0.0,cloudy,34.27300884955752,4062.0,6763.0,11248.0,4,15,2014,04-15,spring,0
103,435,2014-04-16,0.0,cloudy,45.836551724137934,3737.0,6627.0,11352.0,4,16,2014,04-16,spring,0
104,620,2014-04-17,0.0,cloudy,54.69661290322581,3462.0,6643.0,11551.0,4,17,2014,04-17,spring,0
105,568,2014-04-18,0.0,cloudy,46.05123239436621,3467.0,7083.0,11818.0,4,18,2014,04-18,spring,0
106,648,2014-04-19,0.0,cloudy,57.69537037037038,3286.0,7357.0,12235.0,4,19,2014,04-19,spring,1
107,698,2014-04-20,0.0,cloudy,71.91375358166191,3057.0,7543.0,12594.0,4,20,2014,04-20,spring,1
108,587,2014-04-21,0.0,cloudy,66.4083475298126,3378.0,7718.0,12868.0,4,21,2014,04-21,spring,0
109,613,2014-04-22,0.0,cloudy,48.538988580750406,3782.0,7844.0,13125.0,4,22,2014,04-22,spring,0
110,571,2014-04-23,0.0,cloudy,44.07478108581437,4169.0,7906.0,13560.0,4,23,2014,04-23,spring,0
111,603,2014-04-24,0.0,cloudy,56.49170812603649,4305.0,7767.0,13875.0,4,24,2014,04-24,spring,0
112,830,2014-04-25,0.0,cloudy,61.62168674698796,4288.0,7755.0,14297.0,4,25,2014,04-25,spring,0
113,637,2014-04-26,0.0,cloudy,46.488226059654636,4550.0,7836.0,14874.0,4,26,2014,04-26,spring,1
114,525,2014-04-27,0.0,cloudy,54.47733333333333,4539.0,7596.0,15352.0,4,27,2014,04-27,spring,1
115,293,2014-04-28,0.0,cloudy,51.47406143344711,4366.0,7744.0,15634.0,4,28,2014,04-28,spring,0
116,544,2014-04-29,0.0,cloudy,53.20367647058823,4072.0,7854.0,15597.0,4,29,2014,04-29,spring,0
117,605,2014-04-30,0.0,cloudy,48.19719008264463,4003.0,8172.0,15657.0,4,30,2014,04-30,spring,0
118,391,2014-05-01,0.0,rain or snow,46.09795396419438,4037.0,8342.0,15766.0,5,1,2014,05-01,spring,0
119,579,2014-05-02,0.0,cloudy,50.0846286701209,3825.0,8113.0,15795.0,5,2,2014,05-02,spring,0
120,1000,2014-05-03,0.0,cloudy,62.1015,3574.0,8124.0,15955.0,5,3,2014,05-03,spring,1
121,557,2014-05-04,0.0,cloudy,52.7576301615799,3937.0,8476.0,16775.0,5,4,2014,05-04,spring,1
122,557,2014-05-05,0.0,cloudy,48.762477558348294,3969.0,8335.0,17038.0,5,5,2014,05-05,spring,0
123,622,2014-05-06,0.0,cloudy,55.07797427652733,4233.0,8305.0,17133.0,5,6,2014,05-06,spring,0
124,794,2014-05-07,0.0,cloudy,59.571914357682616,4311.0,8314.0,17232.0,5,7,2014,05-07,spring,0
125,962,2014-05-08,0.0,cloudy,80.59719334719334,4500.0,8537.0,17565.0,5,8,2014,05-08,spring,0
126,686,2014-05-09,0.0,cloudy,66.3975218658892,5071.0,8896.0,17976.0,5,9,2014,05-09,spring,0
127,1185,2014-05-10,0.0,cloudy,69.87333333333333,5178.0,8752.0,17952.0,5,10,2014,05-10,spring,1
128,756,2014-05-11,0.0,cloudy,74.48148148148148,5363.0,9300.0,18522.0,5,11,2014,05-11,spring,1
129,759,2014-05-12,0.0,cloudy,77.40816864295125,5562.0,9531.0,18529.0,5,12,2014,05-12,spring,0
130,675,2014-05-13,0.0,cloudy,59.48459259259259,5764.0,9997.0,18411.0,5,13,2014,05-13,spring,0
131,659,2014-05-14,0.0,cloudy,52.756297420333844,5817.0,10128.0,18709.0,5,14,2014,05-14,spring,0
132,454,2014-05-15,0.0,cloudy,47.448898678414096,5682.0,10182.0,19185.0,5,15,2014,05-15,spring,0
133,433,2014-05-16,0.0,cloudy,42.65057736720553,5174.0,10245.0,19413.0,5,16,2014,05-16,spring,0
134,937,2014-05-17,0.0,cloudy,54.95176093916755,4921.0,10099.0,19411.0,5,17,2014,05-17,spring,1
135,1099,2014-05-18,0.0,cloudy,64.547406733394,4673.0,10036.0,19728.0,5,18,2014,05-18,spring,1
136,672,2014-05-19,0.0,cloudy,65.26904761904761,5016.0,10578.0,20259.0,5,19,2014,05-19,spring,0
137,985,2014-05-20,0.0,cloudy,76.53746192893401,4929.0,10693.0,20283.0,5,20,2014,05-20,spring,0
138,1093,2014-05-21,0.0,cloudy,78.05654162854529,5239.0,11056.0,20570.0,5,21,2014,05-21,spring,0
139,931,2014-05-22,0.0,cloudy,62.88077336197637,5673.0,11355.0,21076.0,5,22,2014,05-22,spring,0
140,1002,2014-05-23,0.0,cloudy,61.22774451097804,6150.0,11324.0,21394.0,5,23,2014,05-23,spring,0
141,958,2014-05-24,0.0,cloudy,67.03528183716075,6719.0,11640.0,21825.0,5,24,2014,05-24,spring,1
142,1067,2014-05-25,0.0,cloudy,76.52708528584817,6740.0,11413.0,22180.0,5,25,2014,05-25,spring,1
143,958,2014-05-26,0.0,cloudy,80.92244258872653,6708.0,11724.0,22417.0,5,26,2014,05-26,spring,0
144,776,2014-05-27,0.0,cloudy,74.87989690721648,6994.0,11923.0,22738.0,5,27,2014,05-27,spring,0
145,893,2014-05-28,0.0,cloudy,61.24120940649496,6785.0,12024.0,22989.0,5,28,2014,05-28,spring,0
146,1068,2014-05-29,0.0,cloudy,66.40955056179774,6585.0,12258.0,23589.0,5,29,2014,05-29,spring,0
147,1161,2014-05-30,0.0,cloudy,71.14720068906115,6722.0,12872.0,24113.0,5,30,2014,05-30,spring,0
148,1533,2014-05-31,0.0,cloudy,80.53607305936073,6881.0,13600.0,24669.0,5,31,2014,05-31,spring,1
149,1256,2014-06-01,0.0,cloudy,82.55310509554141,7456.0,14196.0,25811.0,6,1,2014,06-01,summer,1
150,1015,2014-06-02,0.0,cloudy,77.96374384236451,7645.0,14353.0,26488.0,6,2,2014,06-02,summer,0
151,1241,2014-06-03,0.0,cloudy,75.31039484286865,7702.0,14696.0,26503.0,6,3,2014,06-03,summer,0
152,723,2014-06-04,0.0,cloudy,62.535546334716464,8167.0,14952.0,27187.0,6,4,2014,06-04,summer,0
153,1287,2014-06-05,0.0,cloudy,68.25236985236984,7997.0,14582.0,27353.0,6,5,2014,06-05,summer,0
154,1351,2014-06-06,0.0,cloudy,72.75129533678756,8216.0,14938.0,28018.0,6,6,2014,06-06,summer,0
155,1565,2014-06-07,0.0,cloudy,78.01961661341853,8406.0,15287.0,28575.0,6,7,2014,06-07,summer,1
156,1130,2014-06-08,0.0,cloudy,67.57451327433628,8438.0,15894.0,29178.0,6,8,2014,06-08,summer,1
157,1044,2014-06-09,0.0,cloudy,65.7228927203065,8312.0,15957.0,29622.0,6,9,2014,06-09,summer,0
158,530,2014-06-10,0.0,rain or snow,59.44301886792453,8341.0,16043.0,29481.0,6,10,2014,06-10,summer,0
159,920,2014-06-11,0.0,cloudy,62.71032608695652,7630.0,15797.0,29255.0,6,11,2014,06-11,summer,0
160,1083,2014-06-12,0.0,cloudy,71.98624192059096,7827.0,15824.0,29416.0,6,12,2014,06-12,summer,0
161,1261,2014-06-13,0.0,cloudy,66.74734337827121,7623.0,15839.0,29824.0,6,13,2014,06-13,summer,0
162,1751,2014-06-14,0.0,cloudy,73.54688749286122,7533.0,15939.0,30426.0,6,14,2014,06-14,summer,1
163,1201,2014-06-15,0.0,cloudy,79.44987510407994,7719.0,16157.0,31723.0,6,15,2014,06-15,summer,1
164,1185,2014-06-16,0.0,cloudy,82.05864978902953,7790.0,16102.0,32491.0,6,16,2014,06-16,summer,0
165,1168,2014-06-17,0.0,cloudy,83.8457191780822,7931.0,16272.0,32739.0,6,17,2014,06-17,summer,0
166,828,2014-06-18,0.0,cloudy,74.97415458937199,8569.0,16199.0,32808.0,6,18,2014,06-18,summer,0
167,1072,2014-06-19,0.0,cloudy,69.44906716417911,8477.0,16304.0,32964.0,6,19,2014,06-19,summer,0
168,1238,2014-06-20,0.0,cloudy,74.7421647819063,8466.0,16089.0,33051.0,6,20,2014,06-20,summer,0
169,1251,2014-06-21,0.0,cloudy,75.8933653077538,8443.0,15976.0,33196.0,6,21,2014,06-21,summer,1
170,1265,2014-06-22,0.0,cloudy,75.23201581027669,7943.0,15662.0,33516.0,6,22,2014,06-22,summer,1
171,899,2014-06-23,0.0,cloudy,76.32669632925473,8007.0,15797.0,33779.0,6,23,2014,06-23,summer,0
172,1055,2014-06-24,0.0,cloudy,76.29345971563981,7721.0,15652.0,33720.0,6,24,2014,06-24,summer,0
173,1131,2014-06-25,0.0,cloudy,64.88099027409372,7608.0,16177.0,33708.0,6,25,2014,06-25,summer,0
174,1163,2014-06-26,0.0,cloudy,65.99045571797078,7911.0,16388.0,33881.0,6,26,2014,06-26,summer,0
175,1269,2014-06-27,0.0,cloudy,79.33254531126872,8002.0,16468.0,34268.0,6,27,2014,06-27,summer,0
176,1274,2014-06-28,0.0,cloudy,81.65172684458399,8033.0,16476.0,34644.0,6,28,2014,06-28,summer,1
177,1580,2014-06-29,0.0,cloudy,81.13322784810126,8056.0,15999.0,34850.0,6,29,2014,06-29,summer,1
178,754,2014-06-30,0.0,cloudy,79.49761273209548,8371.0,16378.0,35269.0,6,30,2014,06-30,summer,0
179,1335,2014-07-01,0.0,cloudy,75.34157303370786,8226.0,15947.0,34490.0,7,1,2014,07-01,summer,0
180,974,2014-07-02,0.0,cloudy,62.802361396303894,8506.0,16114.0,34569.0,7,2,2014,07-02,summer,0
181,1325,2014-07-03,0.0,cloudy,68.5052075471698,8349.0,16260.0,34528.0,7,3,2014,07-03,summer,0
182,1126,2014-07-04,0.0,cloudy,72.98499111900533,8511.0,16513.0,34612.0,7,4,2014,07-04,summer,0
183,1013,2014-07-05,0.0,cloudy,73.62003948667325,8368.0,16401.0,35015.0,7,5,2014,07-05,summer,1
184,1172,2014-07-06,0.0,cloudy,80.84129692832765,8107.0,16163.0,34741.0,7,6,2014,07-06,summer,1
185,1247,2014-07-07,0.0,cloudy,81.46864474739372,7699.0,16070.0,34562.0,7,7,2014,07-07,summer,0
186,1296,2014-07-08,0.0,cloudy,75.54266975308643,8192.0,16418.0,34244.0,7,8,2014,07-08,summer,0
187,1459,2014-07-09,0.0,cloudy,72.89917751884852,8153.0,16659.0,34410.0,7,9,2014,07-09,summer,0
188,1459,2014-07-10,0.0,cloudy,72.20445510623712,8638.0,16987.0,34825.0,7,10,2014,07-10,summer,0
189,1192,2014-07-11,0.0,cloudy,73.94395973154363,8772.0,17283.0,35754.0,7,11,2014,07-11,summer,0
190,807,2014-07-12,0.0,cloudy,76.99913258983891,8838.0,17206.0,36026.0,7,12,2014,07-12,summer,1
191,1177,2014-07-13,0.0,cloudy,79.39991503823279,8632.0,16739.0,35750.0,7,13,2014,07-13,summer,1
192,1090,2014-07-14,0.0,cloudy,71.64825688073395,8637.0,16336.0,35666.0,7,14,2014,07-14,summer,0
193,1295,2014-07-15,0.0,cloudy,62.1345945945946,8480.0,16672.0,35005.0,7,15,2014,07-15,summer,0
194,1447,2014-07-16,0.0,cloudy,66.75666897028334,8479.0,16632.0,35099.0,7,16,2014,07-16,summer,0
195,1475,2014-07-17,0.0,cloudy,69.77837288135593,8467.0,17105.0,35361.0,7,17,2014,07-17,summer,0
196,1374,2014-07-18,0.0,cloudy,73.0575691411936,8483.0,17255.0,35668.0,7,18,2014,07-18,summer,0
197,1756,2014-07-19,0.0,cloudy,75.58365603644648,8665.0,17503.0,36214.0,7,19,2014,07-19,summer,1
198,1491,2014-07-20,0.0,cloudy,77.37122736418512,9614.0,18246.0,36898.0,7,20,2014,07-20,summer,1
199,1278,2014-07-21,0.0,clear,79.03974960876369,9928.0,18565.0,37151.0,7,21,2014,07-21,summer,0
200,1267,2014-07-22,0.0,cloudy,83.82344119968428,10116.0,18596.0,37178.0,7,22,2014,07-22,summer,0
201,1422,2014-07-23,0.0,cloudy,67.0886075949367,10088.0,18567.0,37180.0,7,23,2014,07-23,summer,0
202,1394,2014-07-24,0.0,cloudy,68.45824964131994,10063.0,18530.0,37703.0,7,24,2014,07-24,summer,0
203,1306,2014-07-25,0.0,cloudy,70.0467840735069,9982.0,18465.0,38042.0,7,25,2014,07-25,summer,0
204,1289,2014-07-26,0.0,cloudy,78.78169123351435,9914.0,18579.0,38217.0,7,26,2014,07-26,summer,1
205,1502,2014-07-27,0.0,cloudy,79.3147137150466,9447.0,19061.0,38343.0,7,27,2014,07-27,summer,1
206,1280,2014-07-28,0.0,cloudy,66.16593750000001,9458.0,19386.0,38576.0,7,28,2014,07-28,summer,0
207,1356,2014-07-29,0.0,cloudy,72.56924778761062,9460.0,19576.0,38582.0,7,29,2014,07-29,summer,0
208,1439,2014-07-30,0.0,cloudy,70.22418346073664,9549.0,19637.0,38358.0,7,30,2014,07-30,summer,0
209,1377,2014-07-31,0.0,cloudy,76.24589687726944,9566.0,19629.0,39043.0,7,31,2014,07-31,summer,0
210,1269,2014-08-01,0.0,cloudy,73.90795902285264,9549.0,19531.0,39085.0,8,1,2014,08-01,summer,0
211,1621,2014-08-02,0.0,cloudy,78.41326341764342,9512.0,19426.0,39380.0,8,2,2014,08-02,summer,1
212,954,2014-08-03,0.0,cloudy,80.98060796645703,9844.0,19291.0,39676.0,8,3,2014,08-03,summer,1
213,1038,2014-08-04,0.0,cloudy,74.00125240847784,9296.0,18754.0,39504.0,8,4,2014,08-04,summer,0
214,1287,2014-08-05,0.0,cloudy,72.44498834498835,9054.0,18514.0,39529.0,8,5,2014,08-05,summer,0
215,1256,2014-08-06,0.0,cloudy,72.55238853503184,8985.0,18534.0,39644.0,8,6,2014,08-06,summer,0
216,1328,2014-08-07,0.0,cloudy,74.22996987951808,8802.0,18368.0,39653.0,8,7,2014,08-07,summer,0
217,1353,2014-08-08,0.0,cloudy,76.34641537324464,8753.0,18302.0,39685.0,8,8,2014,08-08,summer,0
218,1758,2014-08-09,0.0,cloudy,75.96672354948805,8837.0,18349.0,39579.0,8,9,2014,08-09,summer,1
219,1363,2014-08-10,0.0,cloudy,76.16977256052823,8974.0,18818.0,39878.0,8,10,2014,08-10,summer,1
220,941,2014-08-11,0.0,cloudy,75.5326248671626,9383.0,18679.0,40049.0,8,11,2014,08-11,summer,0
221,1043,2014-08-12,0.0,cloudy,65.48331735378714,9286.0,18340.0,40183.0,8,12,2014,08-12,summer,0
222,1147,2014-08-13,0.0,cloudy,72.55431560592852,9042.0,18027.0,40049.0,8,13,2014,08-13,summer,0
223,1347,2014-08-14,0.0,cloudy,66.7075723830735,8933.0,17735.0,40106.0,8,14,2014,08-14,summer,0
224,1397,2014-08-15,0.0,cloudy,70.93457408732999,8952.0,17705.0,40158.0,8,15,2014,08-15,summer,0
225,1693,2014-08-16,0.0,cloudy,76.49816893089191,8996.0,17833.0,40108.0,8,16,2014,08-16,summer,1
226,1212,2014-08-17,0.0,cloudy,68.20420792079207,8931.0,17905.0,40326.0,8,17,2014,08-17,summer,1
227,1262,2014-08-18,0.0,cloudy,74.89683042789224,8780.0,18163.0,40164.0,8,18,2014,08-18,summer,0
228,1098,2014-08-19,0.0,cloudy,78.38233151183971,9101.0,18387.0,39670.0,8,19,2014,08-19,summer,0
229,1413,2014-08-20,0.0,cloudy,78.86786978060863,9156.0,18198.0,39277.0,8,20,2014,08-20,summer,0
230,722,2014-08-21,0.0,cloudy,75.248891966759,9422.0,18355.0,39412.0,8,21,2014,08-21,summer,0
231,1163,2014-08-22,0.0,cloudy,80.60249355116079,8797.0,17749.0,38867.0,8,22,2014,08-22,summer,0
232,1107,2014-08-23,0.0,cloudy,77.70903342366756,8563.0,17559.0,38608.0,8,23,2014,08-23,summer,1
233,1446,2014-08-24,0.0,cloudy,82.8109958506224,7977.0,16908.0,38321.0,8,24,2014,08-24,summer,1
234,996,2014-08-25,0.0,cloudy,78.84106425702812,8211.0,16991.0,38461.0,8,25,2014,08-25,summer,0
235,1305,2014-08-26,0.0,cloudy,77.90183908045977,7945.0,17046.0,38168.0,8,26,2014,08-26,summer,0
236,1370,2014-08-27,0.0,cloudy,72.6980291970803,8152.0,17308.0,37971.0,8,27,2014,08-27,summer,0
